Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What is the name of the SnowSQL file that can store connection information?,multiple-choice,A. history,B. config,C. snowsql.cnf,D. snowsql.pubkey,,,,,,,,,,,,2,"https://docs.snowflake.com/en/user-guide/snowsql-config#connection-parameters-section In the [connections] section of the config file, optionally set the default connection parameters for SnowSQL, e.g. account identifier, user login credentials, and the default database and warehouse. You can also define named connections to make multiple simultaneous connections to Snowflake or store different sets of connection configurations. For more information, see Connecting through SnowSQL. https://docs.snowflake.com/en/user-guide/snowsql-start
B: https://docs.snowflake.com/en/user-guide/snowsql-config  B and C?  When SnowSQL starts, it loads configuration parameter values from the following configuration file locations in order, overriding values from files loaded previously:   /etc/snowsql.cnf   /etc/snowflake/snowsql.cnf   /usr/local/etc/snowsql.cnf   <HOME_DIR>/.snowsql.cnf (supported only for backward compatibility)   <HOME_DIR>/.snowsql/config
https://www.bing.com/search?q=snowsql+config+file&cvid=2892d844f70d4eea84d1269a1f7e9668&aqs=edge.2.69i59j69i57j0l2j69i58j69i11004.17557j0j4&FORM=ANAB01&PC=U531",
How do secure views compare to non-secure views in Snowflake?,multiple-choice,A. Secure views execute slowly compared to non-secure views.,B. Non-secure views are preferred over secure views when sharing data.,C. Secure views are similar to materialized views in that they are the most performant.,D. There are no performance differences between secure and non-secure views.,,,,,,,,,,,,1,"https://docs.snowflake.com/en/user-guide/views-secure#:~:text=Secure%20views%20can%20execute%20more%20slowly%20than%20non%2Dsecure%20views.
correct",
"Which type of join will list all rows in the specified table, even if those rows have no match in the other table?",multiple-choice,A. Cross join,B. Inner join,C. Natural join,D. Outer join,,,,,,,,,,,,4,"In some way CROSS JOIN also lists all rows.
correct",
"When unloading data to an external stage, what is the MAXIMUM file size supported?",multiple-choice,A. 1 GB,B. 5 GB,C. 10 GB,D. 16 GB,,,,,,,,,,,,2,"By default, COPY INTO location statements separate table data into a set of output files to take advantage of parallel operations. The maximum size for each file is set using the MAX_FILE_SIZE copy option. The default value is 16777216 (16 MB) but can be increased to accommodate larger files. The maximum file size supported is 5 GB for Amazon S3, Google Cloud Storage, or Microsoft Azure stages. https://docs.snowflake.com/en/user-guide/data-unload-considerations#
https://docs.snowflake.com/en/user-guide/data-unload-considerations",
How long does Snowflake retain information in the ACCESS_HISTORY view?,multiple-choice,A. 7 days,B. 14 days,C. 28 days,D. 365 days,,,,,,,,,,,,4,"ACCESS_HISTORY in Enterprise Edition (or higher) is retained for 1 year. https://docs.snowflake.com/en/sql-reference/account-usage
https://docs.snowflake.com/en/sql-reference/account-usage
https://www.bing.com/search?q=How+long+does+Snowflake+retain+information+in+the+ACCESS_HISTORY+view&qs=n&form=QBRE&sp=-1&lq=1&pq=how+long+does+snowflake+retain+information+in+the+access_history+view&sc=1-69&sk=&cvid=82C471FF83A54A3388BF99DDF50BE969&ghsh=0&ghacc=0&ghpl=",
Which encryption type will enable client-side encryption for a directory table?,multiple-choice,A. AES,B. AWS_CSE,C. SNOWFLAKE_SSE,D. SNOWFLAKE_FULL,,,,,,,,,,,,4,"SNowflake_full for client and snowflake_sse for server side
https://suya-huang.medium.com/snowflakes-client-side-encryption-and-server-side-encryption-4c7a83427010",
"If file format options are specified in multiple locations, the load operation selects which option FIRST to apply in order of precedence?",multiple-choice,A. Table definition,B. Stage definition,C. Session level,D. COPY INTO TABLE statement,,,,,,,,,,,,4,"D - no doubts
correct
https://docs.snowflake.com/en/user-guide/data-load-prepare",
"A complex SQL query involving eight tables with joins is taking a while to execute. The Query Profile shows that all partitions are being scanned.

What is causing the query performance issue?",multiple-choice,A. Pruning is not being performed efficiently.,"B. A huge volume of data is being fetched, with many joins applied.","C. Incorrect joins are being used, leading to scanning and pulling too many records.",D. The columns in the micro-partitions need granular ordering based on the dataset.,,,,,,,,,,,,1,"correct
I think the answer is C.  https://docs.snowflake.com/en/user-guide/ui-query-profile#exploding-joins",
What does Snowflake's search optimization service support?,multiple-choice,A. External tables,B. Materialized views,C. Tables and views that are not protected by row access policies,D. Casts on table columns (except for fixed-point numbers cast to strings),,,,,,,,,,,,3,"Queries Not Supported By the Search Optimization Service¶ The search optimization service does not support the following:  External tables.  Materialized views.  Columns defined with a COLLATE clause.  Column concatenation.  Analytical expressions.  Casts on table columns (except for fixed-point numbers cast to strings).  https://docs.snowflake.com/en/user-guide/search-optimization-service#label-search-optimization-service-supported-data-types
All four looks incorrect  A, B & D are incorrect as per https://docs.snowflake.com/en/user-guide/search-optimization-service#:~:text=Queries%20Not%20Supported%20By%20the%20Search%20Optimization%20Service%C2%B6  and C is s twisted statement and leans towards the correct answer as per this https://docs.snowflake.com/en/user-guide/search-optimization-service#:~:text=Tables%20with%20Masking%20Policies%20and%20Row%20Access%20Policies%C2%B6",
Which table type is no longer available after the close of the session and therefore has no Fail-safe or Time Travel recovery option?,multiple-choice,A. External,B. Permanent,C. Temporary,D. Transient,,,,,,,,,,,,3,C correct,
How many network policies can be assigned to an account or specific user at a time?,multiple-choice,A. One,B. Two,C. Three,D. Unlimited,,,,,,,,,,,,1,"You can create multiple network policies, however only one network policy can be associated with an account at any one time. https://docs.snowflake.com/en/user-guide/network-policies
https://docs.snowflake.com/en/user-guide/network-policies",
What is a characteristic of a tag associated with a masking policy?,multiple-choice,A. A tag can be dropped after a masking policy is assigned.,B. A tag can have only one masking policy for each data type.,C. A tag can have multiple masking policies for each data type.,D. A tag can have multiple masking policies with varying data types.,,,,,,,,,,,,2,"https://docs.snowflake.com/en/user-guide/tag-based-masking-policies
The tag can support one masking policy for each data type that Snowflake supports.  https://docs.snowflake.com/en/user-guide/tag-based-masking-policies#overview",
Which clients does Snowflake support Multi-Factor Authentication (MFA) token caching for? (Choose two.),multi-select,A. GO driver,B. Node.js driver,C. ODBC driver,D. Python connector,E. Spark connector,,,,,,,,,,,"3, 4","https://docs.snowflake.com/en/user-guide/security-mfa ODBC driver version 2.23.0 (or later).  JDBC driver version 3.12.16 (or later).  Python Connector for Snowflake version 2.3.7 (or later).
C&D are correct ODBC and Python https://docs.snowflake.com/en/user-guide/security-mfa",
What is the Snowflake recommended Parquet file size when querying from external tables to optimize the number of parallel scanning operations?,multiple-choice,A. 1-16 MB,B. 16-128 MB,C. 100-250 MB,D. 256-512 MB,,,,,,,,,,,,4,"D To optimize the number of parallel scanning operations when querying external tables, we recommend the following file or row group sizes per format: Parquet files 256 - 512 MB
https://docs.snowflake.com/en/user-guide/tables-external-intro.
Answer is D: https://docs.snowflake.com/en/user-guide/tables-external-intro. ""Parquet Files, Recommended Size Range: 256-512MB""",
Which data types can be used in a Snowflake table that holds semi-structured data? (Choose two.),multi-select,A. ARRAY,B. BINARY,C. TEXT,D. VARIANT,E. VARCHAR,,,,,,,,,,,"1, 4","Correct answer
https://docs.snowflake.com/en/user-guide/semistructured-intro",
Which constraint is enforced in Snowflake?,multiple-choice,A. FOREIGN KEY,B. NOT NULL,C. PRIMARY KEY,D. UNIQUE KEY,,,,,,,,,,,,2,Correct,
Which pages are included in the Activity area of Snowsight? (Choose two.),multi-select,A. Contacts,B. Sharing settings,C. Copy History,D. Query History,E. Automatic Clustering History,,,,,,,,,,,"3, 4","Pages included in Activity Area of Snowsight Query History Copy History Task History Dynamic Tables
C&D are correct  https://docs.snowflake.com/en/user-guide/ui-snowsight-quick-tour",
When should a user consider disabling auto-suspend for a virtual warehouse? (Choose two.),multi-select,A. When users will be using compute at different times throughout a 24/7 period,B. When managing a steady workload,C. When the compute must be available with no delay or lag time,D. When the user does not want to have to manually turn on the warehouse each time it is needed,E. When the warehouse is shared across different teams,,,,,,,,,,,"2, 3","confirmed https://www.bing.com/search?q=When+should+a+user+consider+disabling+auto-suspend+for+a+virtual+warehouse%3F&cvid=23aca38a3cde4a21b08a926f8a3e6398&aqs=edge..69i57j69i11004.2238j0j9&FORM=ANAB01&PC=U531
Makes sense",
What can a Snowflake user do in the Activity section in Snowsight?,multiple-choice,A. Create dashboards.,B. Write and run SQL queries.,C. Explore databases and objects.,D. Explore executed query performance.,,,,,,,,,,,,4,"https://www.bing.com/search?q=What+can+a+Snowflake+user+do+in+the+Activity+section+in+Snowsight%3F&cvid=619f477cfe384ad682420085ded0ec51&aqs=edge..69i57j69i11004.1597j0j9&FORM=ANAB01&PC=U531
https://docs.snowflake.com/en/user-guide/ui-snowsight-quick-tour
D is correct https://docs.snowflake.com/en/user-guide/ui-snowsight-quick-tour",
How does Snowflake reorganize data when it is loaded? (Choose two.),multi-select,A. Binary format,B. Columnar format,C. Compressed format,D. Raw format,E. Zipped format,,,,,,,,,,,"2, 3","When data is loaded into Snowflake, Snowflake reorganizes that data into its internal optimized, compressed, columnar format. Snowflake stores this optimized data in cloud storage.
correct
https://docs.snowflake.com/en/user-guide/intro-key-concepts#database-storage",
